DATE,PROJECT_ID,TITLE,BOROUGH,LEVEL_OF_REVIEW,AGENCY,CERTIFICATE_NUMBER,PUBLIC_PRIVATE,ACTION,PROJECT_TYPE
05/18/2020,21962,"Reconstruction of the Soldiers & Sailors Memorial Arch (1892) by John Hemingway Duncan, Prospect Park, Grand Army Plaza, Flatbush Avenue and Eastern Parkway, Brooklyn.",Brooklyn,Preliminary,DPR/PPA,27500,Public,Calendared for Consent,Artwork
05/18/2020,21963,"Conservation of Private Passage (2005)by Malcolm Cochran, Hudson River Park, Clinton Cove, between 12th Avenue and the Hudson River at West 56th Street, Manhattan.",Manhattan,Preliminary,DPR/HRPT,27499,Public,Calendared for Consent,Artwork
05/18/2020,21964,"Rehabilitation of a comfort station, Woodlawn Playground, Van Cortlandt Park, Van Cortlandt Park East and Kepler Avenue, Bronx",Bronx,Final,DPR,27497,Public,Calendared for Consent,Architecture
05/18/2020,21965,"Construction of a stormwater detention wetland, Staten Island Bluebelt, Todt Hill Road and Whitlock Avenue, New Creek Watershed, Staten Island",Staten Island,Preliminary,DEP,27479,Public,Calendared for Consent,Landscape architecture
05/18/2020,21966,"Rehabilitation of the 108th Street Pump Station, including the installation of an emergency generator and odor control unit, 108-1 Horace Harding Expressway, Queens",Queens,Preliminary and Final,DEP,27484,Public,Calendared for Consent,Architecture
05/18/2020,21967,"Installation of a storefront, louvers, and rooftop mechanical equipment, Public Safety Answering Center, 11 MetroTech Center, Brooklyn",Brooklyn,Preliminary and Final,EDC,27501,Public,Calendared for Consent,Building systems & Modifications
05/18/2020,21968,"Installation of an antenna enclosure, Downtown Manhattan Heliport, Pier 6, 20 South Street, Manhattan",Manhattan,Preliminary and Final,EDC,27502,Public and Private,Calendared for Consent,Building systems & Modifications
05/18/2020,21971,"Construction of a seating area, Rockaway Beach, Shore Front Parkway at Beach 102nd Street, Arverne, Queens",Queens,Preliminary,DPR,27489,Public,Calendared for Consent,Landscape architecture
05/18/2020,21972,"Construction of a seating area, Rockaway Beach, Shore Front Parkway at Beach 101st Street, Arverne, Queens",Queens,Preliminary,DPR,27488,Public,Calendared for Consent,Landscape architecture
05/18/2020,21973,"Construction of a seating area, Rockaway Beach, Shore Front Parkway at Beach 98th Street, Arverne, Queens",Queens,Preliminary,DPR,27490,Public,Calendared for Consent,Landscape architecture
05/18/2020,21974,"Construction of a seating area, Rockaway Beach, Shore Front Parkway between Beach 73rd Street and Beach 74th Street, Arverne, Queens",Queens,Preliminary,DPR,27491,Public,Calendared for Consent,Landscape architecture
05/18/2020,21975,"Rehabilitation of a comfort station and adjacent site work, Commodore Barry Park, Flushing Avenue between Navy Street and North Elliott Place, Brooklyn",Brooklyn,Final,DPR,27496,Public,Calendared for Consent,Architecture
05/18/2020,21977,"Construction of a greenmarket food warehouse and distribution center, Hunts Point Food Distribution Center, Halleck Street and Viele Avenue, Bronx",Bronx,Final,EDC,27503,Public and Private,Calendared for Consent,Architecture
05/18/2020,21979,"Installation of mechanical equipment, Morrisania Health Center, 1309 Fulton Avenue, Bronx",Bronx,Preliminary and Final,DDC/DOHMH,27476,Public,Calendared for Consent,Building systems & Modifications
05/18/2020,21980,"Installation of mechanical equipment, Chelsea District Health Center, 303 Ninth Avenue, Manhattan",Manhattan,Preliminary and Final,DDC/DOHMH,27475,Public,Calendared for Consent,Building systems & Modifications
05/18/2020,21981,"Installation of mechanical equipment, Central Harlem Health Center, 2238 Fifth Avenue, Manhattan",Manhattan,Preliminary and Final,DDC/DOHMH,27474,Public,Calendared for Consent,Building systems & Modifications
05/18/2020,21982,"Installation of mechanical equipment, Riverside Health Center, 106 West 100th Street, Manhattan",Manhattan,Preliminary and Final,DDC/DOHMH,27477,Public,Calendared for Consent,Building systems & Modifications
05/18/2020,21983,"Reconstruction of Redwood Upper Playground, Cunningham Park, 193rd Street between Aberdeen Road and Radnor Road, Fresh Meadows, Queens",Queens,Final,DPR,27495,Public,Calendared for Consent,Landscape architecture
05/18/2020,21984,"Construction of Nameoke Park, Nameoke Avenue and Augustina Avenue, Far Rockaway, Queens",Queens,Final,DPR,27494,Public,Calendared for Consent,Landscape architecture
05/18/2020,21987,"Reconstruction of a portion of the playground, adjacent to P.S. 155 (William Paca School), First Avenue, East 117th Street, Second Avenue, and East 118th Street, Manhattan",Manhattan,Preliminary,DPR,27493,Public,Calendared for Consent,Landscape architecture
05/18/2020,21988,"Installation of a sealcoat soccer pitch, P.S. 60, 55 Merrill Avenue, Staten Island",Staten Island,Preliminary and Final,DOE,27487,Public,Calendared for Consent,Landscape architecture
05/18/2020,21991,"Construction of an ADA ramp at the Dairy, Central Park, East 65th Street transverse road between Center Drive and East Drive, Manhattan",Manhattan,Preliminary,DPR/CPC,27506,Public,Calendared for Public Hearing,Landscape architecture
05/18/2020,21992,"Construction of ADA ramps and restoration of the Conservatory Garden, Central Park, Fifth Avenue at East 105th Street, Manhattan",Manhattan,Preliminary,DPR/CPC,27505,Public,Calendared for Public Hearing,Landscape architecture
05/18/2020,21993,"Installation of K-159 (2010) by Frank Stella, New York Aquarium, 603 Surf Avenue at West 8th Street, Brooklyn.",Brooklyn,Preliminary,DPR/DCLA/WCS,27498,Public and Private,Calendared for Consent,Artwork
06/15/2020,21955,"Installation of interim flood protection measures as part of the Battery Park City Resiliency Plan, Battery Park City Ballfields and Community Center, Warren Street, West Street, and Murray Street, Manhattan",Manhattan,Preliminary and Final,DOT,27521,Public,Calendared for Consent,Landscape architecture
06/15/2020,21969,"Construction of a maintenance yard, including prefabricated trailers, storage containers, and adjacent site work, DEP Green Infrastructure Satellite Facility, 62 White Street, Brooklyn",Brooklyn,Preliminary and Final,DEP,27510,Public,Calendared for Consent,Landscape architecture
06/15/2020,21989,"Reconstruction of Davidson Playground, Davidson Avenue between West 176th Street and West 177th Street, Bronx",Bronx,Preliminary,DPR,27525,Public,Calendared for Consent,Landscape architecture
06/15/2020,21994,"Reconstruction of Ericsson Playground, adjacent to M.S. 126, Manhattan Avenue and Leonard Street, Brooklyn",Brooklyn,Final,DPR,27531,Public,Calendared for Consent,Landscape architecture
06/15/2020,21996,"Reconstruction of a portion of L/CPL Thomas P. Noonan Jr. Playground, including a plaza and dog run, Greenpoint Avenue and 42nd Street, Sunnyside, Queens",Queens,Final,DPR,27530,Public,Calendared for Consent,Landscape architecture
06/15/2020,21997,"Reconstruction of the Inwood Hill Ballfields, Inwood Hill Park, West 214th Street and Seaman Avenue, Manhattan",Manhattan,Preliminary,DPR,27526,Public,Calendared for Consent,Landscape architecture
06/15/2020,22001,"Installation of Paradise Parados by Teresita Fernandez, Robert W. Wilson Sculpture Terrace at BAM Strong (formerly the Brooklyn Academy of Music Harvey Theater), 651 Fulton Street, Brooklyn",Brooklyn,Preliminary,DCLA,27507,Public and Private,Calendared for Consent,Artwork
06/15/2020,22002,"Installation of a sealcoat soccer pitch, P.S. 18, 221 Broadway, Staten Island",Staten Island,Preliminary and Final,DOE,27513,Public,Calendared for Consent,Landscape architecture
06/15/2020,22003,"Reconstruction of Marcy Green Park, Marcy Avenue between South 3rd Street and Broadway Avenue, Brooklyn",Brooklyn,Preliminary and Final,DPR,27528,Public,Calendared for Consent,Landscape architecture
06/15/2020,22004,"Construction of a stoop and fenced-in area, 31 Third Street, Brooklyn",Brooklyn,Preliminary and Final,DOT,27519,Private,Calendared for Consent,Landscape architecture
06/15/2020,22005,"Temporary installation of Peacock (Short-tailed) (1920) and Peacock (Long-tailed) (1928) by Gaston Lachaise, Bartow Pell Mansion, Pelham Bay Park, Bronx",Bronx,Preliminary and Final,DPR,27529,Public and Private,Calendared for Consent,Artwork
06/15/2020,22006,"Reconstruction of an ADA ramp, 125th Street Branch Library, 224 East 125th Street, Manhattan",Manhattan,Preliminary and Final,DOT,27522,Public,Calendared for Consent,Architecture
06/15/2020,22007,"Installation of a conduit support system, Final Settling Tanks, Wards Island Wastewater Resource Recovery Facility, Wards Island, Manhattan",Manhattan,Preliminary and Final,DEP,27509,Public,Calendared for Consent,Building systems & Modifications
06/15/2020,22008,"Installation of a wireless router and antenna on light poles, Brooklyn, Queens, and Staten Island",Citywide,Preliminary and Final,DOT,27520,Public and Private,Calendared for Consent,Street furniture
06/15/2020,22009,"Construction of an addition to the Pump and Power House, reconstruction of the guard house, installation of a digester gas conditioning system adjacent to the Old Power House, and adjacent site work, Coney Island Wastewater Resource Recovery Facility, 2591 Knapp Street, Brooklyn",Brooklyn,Preliminary,DEP,27508,Public,Calendared for Consent,Architecture
06/15/2020,22010,"Installation of mechanical equipment, Corona Health Center, 34-33 Junction Boulevard, Jackson Heights, Queens",Queens,Preliminary and Final,DOHMH,27514,Public,Calendared for Consent,Building systems & Modifications
06/15/2020,22011,"Installation of mechanical equipment, Crown Heights Health Center, 1218 Prospect Place, Brooklyn",Brooklyn,Preliminary and Final,DOHMH,27515,Public,Calendared for Consent,Building systems & Modifications
06/15/2020,22012,"Installation of mechanical equipment, Fort Greene Health Center, 295 Flatbush Avenue Extension, Brooklyn",Brooklyn,Preliminary and Final,DOHMH,27516,Public,Calendared for Consent,Building systems & Modifications
06/15/2020,22013,"Installation of mechanical equipment, Jamaica Health Center, 90-37 Parsons Boulevard, Jamaica, Queens",Queens,Preliminary and Final,DOHMH,27517,Public,Calendared for Consent,Building systems & Modifications
06/15/2020,22014,"Installation of flood protection measures as a part of the DEP Wastewater Resiliency Program, Richmond Hill Road Pump Station, Richmond Hill Road and Richmond Avenue, Staten Island",Staten Island,Preliminary and Final,DEP,27511,Public,Calendared for Consent,Architecture
06/15/2020,22015,"Installation of flood protection measures as a part of the DEP Wastewater Resiliency Program, Zerega Avenue Pump Station, 2171 Hart Street, Bronx",Bronx,Preliminary and Final,DEP,27512,Public,Calendared for Consent,Architecture
06/15/2020,22022,"Construction of a prototypical comfort station and adjacent site work, Nameoke Park, Nameoke Avenue and Augustina Avenue, Far Rockaway, Queens",Queens,Preliminary,DPR,27523,Public,Calendared for Consent,Architecture
06/15/2020,22023,"Construction of a prototypical comfort station and adjacent site work, Seaside Wildlife Nature Park, Nelson Avenue and Tennyson Drive, Staten Island",Staten Island,Preliminary and Final,DPR,27527,Public,Calendared for Consent,Architecture
06/15/2020,22024,"Installation of mechanical equipment, Washington Heights Health Center, 600 West 168th Street, Manhattan",Manhattan,Preliminary and Final,DOHMH,27518,Public,Calendared for Consent,Building systems & Modifications
06/15/2020,22026,"Construction of Bushwick Inlet Park as part of the Greenpoint and Williamsburg waterfront, Phase III, Kent Avenue between North 9th Street and North 15th Street, Brooklyn",Brooklyn,Preliminary,DPR,27524,Public,Calendared for Consent,Landscape architecture
06/22/2020,12102,"Relocation of Charging Bull by Arturo Di Modica, from the northern corner of Bowling Green Park, Broadway and Whitehall Street to Broad Street between Wall Street and Exchange Place, Manhattan",Manhattan,Conceptual,DOT,27534,Public and Private,Calendared for Public Hearing,Artwork
06/22/2020,21646,"Construction of a cafe addition, storage building, and adjacent site work, McCarren Park House, McCarren Park, between Lorimer Street, Bedford Avenue, and Driggs Avenue, Brooklyn",Brooklyn,Preliminary,DPR,27532,Public and Private,Calendared for Public Hearing,Architecture
06/22/2020,21999,"Reconstruction of a portion of Kelly Playground, adjacent to P.S. 255, East 17th Street and Avenue S, Brooklyn",Brooklyn,Preliminary,DPR,27533,Public,Calendared for Public Hearing,Landscape architecture
07/13/2020,21978,"Rehabilitation of Emergency Medical Services 4 (EMS 4), including the installation of an emergency generator, Pier 36, 270 South Street, Manhattan",Manhattan,Preliminary and Final,FDNY,27546,Public,Calendared for Consent,Architecture
07/13/2020,21985,"Construction of a skate park, Jerome Playground South, Jerome Avenue, Cross Bronx Expressway, and Townsend Avenue, Bronx",Bronx,Preliminary,DPR,27538,Public,Calendared for Consent,Landscape architecture
07/13/2020,21995,"Reconstruction of the East River Esplanade, Phase II, East 115th Street to East 117th Street, Manhattan",Manhattan,Final,DPR,27541,Public,Calendared for Consent,Landscape architecture
07/13/2020,22027,"Reconstruction of Ten Eyck Plaza, Ten Eyck Street and Stagg Street between Union Avenue and Lorimer Street, Brooklyn",Brooklyn,Final,DPR,27540,Public,Calendared for Consent,Landscape architecture
07/13/2020,22028,"Conservation of Dante Alighieri (1921) by Ettore Ximenes, Dante Park, Columbus Avenue, Broadway, and West 63rd Street, Manhattan",Manhattan,Preliminary,DPR,27537,Public,Calendared for Consent,Artwork
07/13/2020,22029,"Reconstruction of the perimeter streetscape and park entrance, including the installation of a bike lane, Prospect Park, Ocean Avenue between Flatbush and Parkside Avenue, and Parkside Avenue between Ocean Avenue and Parade Place, Brooklyn",Brooklyn,Final,DPR/DOT,27542,Public,Calendared for Consent,Landscape architecture
07/13/2020,22030,"Reconstruction of Mercer Playground, Phase I, Mercer Street between Bleecker Street and West 3rd Street, Manhattan",Manhattan,Preliminary,DPR/NYU,27544,Public,Calendared for Consent,Landscape architecture
07/13/2020,22031,"Construction of an entrance on Bleecker Street at Mercer Street, New York University, 181 Mercer Street, Manhattan",Manhattan,Preliminary and Final,DPR/DOT/NYU,27543,Public,Calendared for Consent,Landscape architecture
07/13/2020,22032,"Construction of a maintenance building and comfort station, Michaelis-Bayswater Park, Bay 32nd Street, Beach Channel Drive, Beach 35th Street, and Norton Avenue, Far Rockaway, Queens",Queens,Preliminary,DPR,27547,Public,Calendared for Public Hearing,Architecture
07/13/2020,22033,"Construction of a prototypical comfort station, Michaelis-Bayswater Park, Bay 32nd Street, Beach Channel Drive, Beach 35th Street, and Norton Avenue, Far Rockaway, Queens",Queens,Preliminary,DPR,27548,Public,Calendared for Public Hearing,Architecture
07/13/2020,22034,"Reconstruction of Dongan Playground, adjacent to P.S. 52, Dongan Hills Avenue, Mason Avenue, and Buel Avenue, Staten Island",Staten Island,Preliminary,DPR,27549,Public,Calendared for Public Hearing,Landscape architecture
07/13/2020,22037,"Reconstruction of a substation, Building 62, Fifth Street between Morris Avenue and Market Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary,BNYDC,27535,Public,Calendared for Consent,Architecture
07/13/2020,22038,"Installation of doors, louvers, and mechanical equipment, Building 28 (Bednark Fabrication Studio), Fifth Street between Morris Avenue and Market Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,27536,Private,Calendared for Consent,Architecture
07/13/2020,22042,"Installation of an interim open space, Willoughby Street, Duffield Street and Gold Street, Brooklyn",Brooklyn,Preliminary and Final,EDC,27545,Public,Calendared for Consent,Landscape architecture
07/13/2020,22047,"Construction of a comfort station, Monsignor Kett Playground, West 204th Street between Nagle Avenue and Tenth Avenue, Manhattan",Manhattan,Final,DPR,27539,Public,Calendared for Consent,Architecture
08/10/2020,21850,"Reconstruction of Pershing Square East Plaza, Park Avenue between East 41st Street and East 42nd Street, Manhattan",Manhattan,Preliminary,DDC/DOT,27553,Public,Calendared for Consent,Landscape architecture
08/10/2020,22021,Design of prototypical shrouds for 4G and 5G mobile telecommunications equipment for installation on light poles citywide,Citywide,Preliminary and Final,DoITT/DOT,27570,Public and Private,Calendared for Public Hearing,Street furniture
08/10/2020,22025,"Installation of security infrastructure and adjacent site work, Adams Street between Tillary Street and Red Cross Place, Brooklyn",Brooklyn,Preliminary and Final,DDC/DOT,27554,Public,Calendared for Consent,Street furniture
08/10/2020,22039,"Reconstruction of the 210th Street Playground, Cunningham Park, 210th Street, 73rd Avenue, and the Clearview Expressway, Oakland Gardens, Queens",Queens,Preliminary,DPR,27557,Public,Calendared for Consent,Landscape architecture
08/10/2020,22040,"Rehabilitation of a comfort station, Kelly Park Playground, adjacent to P.S. 255, East 17th Street and Avenue S, Brooklyn",Brooklyn,Preliminary,DPR,27558,Public,Calendared for Consent,Architecture
08/10/2020,22045,"Installation of a storefront system and signage (Starbucks), 625 Atlantic Avenue, Brooklyn",Brooklyn,Preliminary and Final,EDC,27565,Private,Calendared for Consent,Signage
08/10/2020,22048,"Installation of rooftop mechanical units, Gateway Center (formerly Bronx Terminal Market), 700 Exterior Street, Bronx",Bronx,Preliminary and Final,EDC,27566,Private,Calendared for Consent,Building systems & Modifications
08/10/2020,22049,"Construction of a plaza and railing, Beach Channel Drive, Beach 108th Street, Jamaica Bay, and Rockaway Freeway, Far Rockaway, Queens",Queens,Final,DPR,27561,Public,Calendared for Consent,Landscape architecture
08/10/2020,22050,"Reconstruction of a ramp, Ranaqua, Bronx Park, Bronx River Parkway and Birchall Avenue, Bronx",Bronx,Preliminary and Final,DPR,27560,Public,Calendared for Consent,Building systems & Modifications
08/10/2020,22051,"Installation of a concrete pad (Adventures Family Entertainment Center), 1824 Shore Parkway, Brooklyn",Brooklyn,Preliminary and Final,DPR,27559,Public and Private,Calendared for Consent,Building systems & Modifications
08/10/2020,22053,"Reconstruction of the 10th Avenue Square, High Line Park (formerly elevated rail), 10th Avenue and West 17th Street, Manhattan",Manhattan,Preliminary and Final,DPR/FHL,27564,Public,Calendared for Consent,Landscape architecture
08/10/2020,22054,"Installation of a rooftop generator, Aeration and Final Settling Tank Building, Port Richmond Wastewater Resource Recovery Facility, 1800 Richmond Terrace, Staten Island",Staten Island,Preliminary and Final,DEP,27555,Public,Calendared for Consent,Building systems & Modifications
08/10/2020,22055,"Installation of a mobile telecommunications equipment pole and antennas, 15-15 Hazen Street, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,27556,Public,Calendared for Consent,Building systems & Modifications
08/10/2020,22056,"Installation of Woodhaven in Motion by Robert Hickman, Woodhaven Boulevard at the intersection of Jamaica Avenue and 91st Street, Woodhaven, Queens",Queens,Final,DCLA%/DOT,27552,Public,Calendared for Consent,Artwork
08/10/2020,22057,"Installation of Along Woodhaven Boulevard by Priscila de Carvalho, Woodhaven Boulevard at the intersection of 101st Avenue and Rockaway Boulevard, Ozone Park, Queens",Queens,Final,DCLA%/DOT,27551,Public,Calendared for Consent,Artwork
08/10/2020,22058,"Installation of temporary signage, Seneca Village Site, Central Park, between Central Park West, West 87th Street, and West 81st Street, Manhattan",Manhattan,Preliminary and Final,DPR/CPC,27563,Public,Calendared for Consent,Signage
08/10/2020,22061,"Installation of a barge and gangway to accommodate citywide ferry service, Schaefer Landing, South 10th Street between Kent Avenue and the East River, Brooklyn",Brooklyn,Final,EDC/DPR,27568,Public and Private,Calendared for Consent,Landscape architecture
08/10/2020,22062,"Installation of a barge and gangway to accommodate citywide ferry service, St. George Ferry Terminal, Wall Street between Richmond Terrace and the Anchorage Channel, Staten Island",Staten Island,Final,EDC,27567,Public and Private,Calendared for Consent,Landscape architecture
08/10/2020,22063,"Installation of a barge, gangway, storage shed, and adjacent site work to accommodate citywide ferry service, including a parking lot and pathway, Ferry Point Park west of the Whitestone Bridge, between the Hutchinson River Parkway and the East River, Bronx",Bronx,Preliminary,EDC/DPR,27569,Public and Private,Calendared for Public Hearing,Landscape architecture
08/10/2020,22064,"Installation of louvers, Building 5, 7th Avenue, Paulding Street, 8th Avenue, and Farragut Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,27550,Private,Calendared for Consent,Building systems & Modifications
08/10/2020,22065,"Construction of a prototypical comfort station, Harlem River Park, Harlem River Drive, East 128th Street, and the Third Avenue Bridge, Manhattan",Manhattan,Final,DPR,27562,Public,Calendared for Consent,Architecture
09/14/2020,20997,"Installation of streetscape improvements, Mermaid Avenue from West 21st Street to West 37th Street, Coney Island, Brooklyn",Brooklyn,Preliminary and Final,DOT,27578,Public,Calendared for Consent,Landscape architecture
09/14/2020,21830,"Construction of a public health laboratory, Harlem Hospital Center, Lenox Avenue, West 137th Street, Fifth Avenue, and West 136th Street, Manhattan",Manhattan,Preliminary,EDC,27583,Public,Calendared for Consent,Architecture
09/14/2020,21891,"Installation of sports lighting, Ferry Point Park Golf Course, Balcom Avenue, Miles Avenue, the Whitestone Bridge approach, and the East River, Bronx",Bronx,Preliminary and Final,DPR,27579,Public and Private,Calendared for Consent,Distinctive lighting
09/14/2020,22069,"Reconstruction of Playground 278, adjacent to P.S. 278, Marine Park, Stuart Street, Fillmore Avenue, and Madison Place, Brooklyn",Brooklyn,Preliminary,DPR,27584,Public,Calendared for Public Hearing,Landscape architecture
09/14/2020,22071,"Installation of louvers, Building 280, Ordinance Avenue, 5th Street, Morris Avenue, and 6th Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,27571,Public and Private,Calendared for Consent,Building systems & Modifications
09/14/2020,22072,"Reconstruction of a substation, Building 62, Fifth Street between Morris Avenue and Market Street, Brooklyn Navy Yard Industrial Park, Brooklyn",Brooklyn,Final,BNYDC,27572,Public,Calendared for Consent,Architecture
09/14/2020,22073,"Installation of vents, piping, and mechanical equipment at the Reptile House, Monkey House, and Cogen Plant, Bronx Zoo, 2300 Southern Boulevard, Bronx",Bronx,Preliminary and Final,DCLA/DCAS/DPR,27573,Public,Calendared for Consent,Building systems & Modifications
09/14/2020,22074,"Expansion of the western plaza, New York Aquarium, Coney Island Boardwalk, West 5th Street, Surf Avenue, and West 8th Street, Brooklyn",Brooklyn,Final,DCLA/DPR/WCS,27574,Public,Calendared for Consent,Landscape architecture
09/14/2020,22075,"Installation of a louver, Engine Company 64/Ladder 47, 1214-1220 Castle Hill Avenue, Bronx",Bronx,Preliminary and Final,DDC,27575,Public,Calendared for Consent,Building systems & Modifications
09/14/2020,22076,"Construction of anaerobic digester tanks, a pumping station, and adjacent site work, Hunts Point Water Pollution Control Plant, Viele Avenue, Manida Street, Ryawa Avenue, and Barretto Street, Bronx",Bronx,Final,DEP/DOT,27577,Public,Calendared for Consent,Architecture
09/14/2020,22077,"Construction of a floodwall and adjacent site work (South Shore Coastal Resiliency), Oakwood Beach Wastewater Resource Recovery Facility, Staten Island",Staten Island,Preliminary,DPR/DOT/DEP,27581,Public,Calendared for Consent,Landscape architecture
09/14/2020,22078,"Construction of a levee and tide gate (South Shore Coastal Resiliency), Hylan Boulevard and Oakwood Beach Wastewater Resource Recovery Facility, Staten Island",Staten Island,Preliminary,DPR/DOT/DEP,27582,Public,Calendared for Consent,Landscape architecture
09/14/2020,22079,"Reconstruction of Ocean Hill Playground, adjacent to I.S. 55, Bergen Street, Rockaway Avenue, and Dean Street, Brooklyn",Brooklyn,Preliminary and Final,DPR,27580,Public,Calendared for Consent,Landscape architecture
09/14/2020,22082,"Construction of a stormwater detention wetland, Staten Island Bluebelt, Todt Hill Road and Whitlock Avenue, New Creek Watershed, Staten Island",Staten Island,Final,DEP,27576,Public,Calendared for Consent,Landscape architecture
10/19/2020,21898,"Construction of flood protection measures (Brooklyn Bridge Montgomery Coastal Resiliency) and reconstruction of the East River Waterfront, Phases III, IV, and V, Brooklyn Bridge, South Street, Montgomery Street, and the East River, Manhattan",Manhattan,Preliminary,EDC,27605,Public,Calendared for Public Hearing,Landscape architecture
10/19/2020,21946,"Construction of an animal care center, 832 Shepherd Avenue, Brooklyn",Brooklyn,Final,DDC/DOHMH,27585,Public,Calendared for Consent,Architecture
10/19/2020,22059,"Design of an interpretive sign, Newtown Creek Wastewater Resource Recovery Facility, 329 Greenpoint Avenue, Brooklyn",Brooklyn,Preliminary and Final,DEP,27586,Public,Calendared for Consent,Signage
10/19/2020,22063,"Installation of a barge, gangway, storage shed, and adjacent site work to accommodate citywide ferry service, including a parking lot and pathway, Ferry Point Park west of the Whitestone Bridge, between the Hutchinson River Parkway and the East River, Bronx",Bronx,Preliminary and Final,EDC/DPR,27604,Public and Private,Calendared for Consent,Landscape architecture
10/19/2020,22067,"Construction of a distinctive sidewalk as part of the Downtown Brooklyn and Fulton Mall streetscape master plan, 11 Hoyt Street, Hoyt Street, Livingston Street, and Elm Street, Brooklyn",Brooklyn,Preliminary,DOT,27606,Public and Private,Calendared for Public Hearing,Distinctive sidewalk
10/19/2020,22083,"Construction of a skate park, Jerome Playground South, Jerome Avenue, Cross Bronx Expressway, and Townsend Avenue, Bronx",Bronx,Final,DPR,27596,Public,Calendared for Consent,Landscape architecture
10/19/2020,22085,"Construction of a Waterfowl Management Program Building, Kensico Reservoir, 19 Westlake Drive, Mount Pleasant, Westchester County",Upstate,Final,DEP,27587,Public,Calendared for Consent,Architecture
10/19/2020,22086,"Reconstruction of a portion of Gorman Playground, 84th Street, 25th Avenue, 85th Street, and 30th Avenue, East Elmhurst, Queens",Queens,Final,DPR,27597,Public,Calendared for Consent,Landscape architecture
10/19/2020,22087,"Construction of an ADA-ramp and stair and adjacent site work, Benjamin Ward Visitor Center and Samuel L. Perry Center, Rikers Island, Bronx",Bronx,Preliminary and Final,DOC,27589,Public,Calendared for Consent,Landscape architecture
10/19/2020,22088,"Reconstruction of a portion of Starr Playground, Onderdonk Avenue and Willoughby Avenue, Ridgewood, Queens",Queens,Final,DPR,27598,Public,Calendared for Consent,Landscape architecture
10/19/2020,22090,"Reconstruction of a portion of the playground, adjacent to P.S. 155 (William Paca School), First Avenue, East 117th Street, Second Avenue, and East 118th Street, Manhattan",Manhattan,Final,DPR,27599,Public,Calendared for Consent,Landscape architecture
10/19/2020,22091,"Reconstruction of a playground, James A. Bland Playground, 40th Road and Prince Street, Flushing, Queens",Queens,Preliminary,DPR,27592,Public,Calendared for Consent,Landscape architecture
10/19/2020,22092,"Reconstruction of a roof, Ranaqua, Bronx Park, Bronx River Parkway and Birchall Avenue, Bronx",Bronx,Final,DPR,27600,Public,Calendared for Consent,Building systems & Modifications
10/19/2020,22093,"Rehabilitation of a comfort station, Kelly Park Playground, adjacent to P.S. 255, East 17th Street and Avenue S, Brooklyn",Brooklyn,Final,DPR,27601,Public,Calendared for Consent,Architecture
10/19/2020,22094,"Conservation and expansion of 7000 Eichen (7000 Oaks) by Joseph Beuys, 11th Avenue, West 22nd Street and 10th Avenue, Manhattan.",Manhattan,Preliminary,DOT,27590,Public,Calendared for Consent,Artwork
10/19/2020,22095,"Construction of a storage and maintenance building, Madison Square Park, Madison Avenue at East 23rd Street, Manhattan",Manhattan,Preliminary,DPR,27591,Public,Calendared for Consent,Architecture
10/19/2020,22096,"Installation of lighting at anaerobic digester tanks, Hunts Point Water Pollution Control Plant, Viele Avenue, Manida Street, Ryawa Avenue, and Barretto Street, Bronx",Bronx,Preliminary and Final,DEP,27588,Public,Calendared for Consent,Building systems & Modifications
10/19/2020,22097,"Construction of a dog run, Shore Road Park, Shore Parkway, Fourth Avenue, and Shore Road, Brooklyn",Brooklyn,Preliminary and Final,DPR,27593,Public,Calendared for Consent,Landscape architecture
10/19/2020,22098,"Construction of basketball courts, Faber Park, Richmond Terrace between Sharpe Avenue and Faber Street, Staten Island",Staten Island,Preliminary and Final,DPR,27594,Public,Calendared for Consent,Landscape architecture
10/19/2020,22099,"Reconstruction of a portion of Rainbow Playground, Sixth Avenue, between 55th Street and 56th Street, Brooklyn",Brooklyn,Preliminary and Final,DPR,27595,Public,Calendared for Consent,Landscape architecture
10/19/2020,22100,"Installation of interim steel bracing, Queens District 1 Garage, 34-28 21st Street, Astoria, Queens",Queens,Preliminary and Final,DSNY,27603,Public,Calendared for Consent,Building systems & Modifications
10/19/2020,22107,"Reconstruction of a portion of Grant Park, East 169th Street, Morris Avenue, and East 170th Street, Bronx",Bronx,Final,DPR,27602,Public,Calendared for Consent,Landscape architecture
11/16/2020,20669,"Installation of a rooftop canopy with photovoltaic panels, Coney Island Branch Library, 1901 Mermaid Avenue, Brooklyn",Brooklyn,Preliminary and Final,BPL,27609,Public,Calendared for Consent,Building systems & Modifications
11/16/2020,20670,"Installation of rooftop photovoltaic panels, Gerritsen Beach Branch Library, 2808 Gerritsen Avenue, Brooklyn",Brooklyn,Preliminary and Final,BPL,27612,Public,Calendared for Consent,Building systems & Modifications
